,Start_15,Ende_15,Energie [kWh],Leistung [kW],Kapazitaet [kWh],Finaler SOC [kWh],profits [EUR],trades [#],Initialer SOC [kWh]
197,2017-07-17 08:00:00,2017-07-17 17:00:00,4.7573999,11,50,45,0.0,0,40.2426001
198,2017-07-18 08:00:00,2017-07-18 17:00:00,9.943287544,11,50,45,0.0,0,35.056712456
199,2017-07-19 08:00:00,2017-07-19 17:00:00,0.801201932,11,50,45,0.0,0,44.198798068
200,2017-07-20 08:00:00,2017-07-20 17:00:00,3.811789555,11,50,45,0.0,0,41.188210445
201,2017-07-21 08:00:00,2017-07-21 17:00:00,14.73299607,11,50,45,0.0,0,30.26700393
202,2017-07-22 08:00:00,2017-07-22 17:00:00,5.414377211000001,11,50,45,0.0,0,39.585622789
203,2017-07-23 08:00:00,2017-07-23 17:00:00,8.048386615,11,50,45,0.0,0,36.951613385
204,2017-07-24 08:00:00,2017-07-24 17:00:00,11.5538376,11,50,45,0.0,0,33.4461624
205,2017-07-25 08:00:00,2017-07-25 17:00:00,7.688503982,11,50,45,0.0,0,37.311496018
206,2017-07-26 08:00:00,2017-07-26 17:00:00,10.82559331,11,50,45,0.0,0,34.17440669
207,2017-07-27 08:00:00,2017-07-27 17:00:00,12.50396558,11,50,45,0.0,0,32.49603442
208,2017-07-28 08:00:00,2017-07-28 17:00:00,13.87501106,11,50,45,0.0,0,31.12498894
209,2017-07-29 08:00:00,2017-07-29 17:00:00,8.662722528,11,50,45,0.0,0,36.337277472
210,2017-07-30 08:00:00,2017-07-30 17:00:00,11.66865031,11,50,45,0.0,0,33.331349689999996
211,2017-07-31 08:00:00,2017-07-31 17:00:00,10.2672825,11,50,45,0.0,0,34.7327175
212,2017-08-01 08:00:00,2017-08-01 17:00:00,14.52578284,11,50,45,0.0,0,30.474217160000002
213,2017-08-02 08:00:00,2017-08-02 17:00:00,7.577713714,11,50,45,0.0,0,37.422286286
214,2017-08-03 08:00:00,2017-08-03 17:00:00,13.02021212,11,50,45,0.0,0,31.97978788
215,2017-08-04 08:00:00,2017-08-04 17:00:00,7.6678579739999995,11,50,45,0.0,0,37.332142026
216,2017-08-05 08:00:00,2017-08-05 17:00:00,9.84376145,11,50,45,0.0,0,35.15623855
217,2017-08-06 08:00:00,2017-08-06 17:00:00,1.175816566,11,50,45,0.0,0,43.824183434
218,2017-08-07 08:00:00,2017-08-07 17:00:00,6.937961753,11,50,45,0.0,0,38.062038247000004
219,2017-08-08 08:00:00,2017-08-08 17:00:00,13.02055771,11,50,45,0.0,0,31.97944229
220,2017-08-09 08:00:00,2017-08-09 17:00:00,1.72365932,11,50,45,0.0,0,43.27634068
221,2017-08-10 08:00:00,2017-08-10 17:00:00,8.101309094,11,50,45,0.0,0,36.898690906
222,2017-08-11 08:00:00,2017-08-11 17:00:00,1.978023521,11,50,45,0.0,0,43.021976479
223,2017-08-12 08:00:00,2017-08-12 17:00:00,6.493178945,11,50,45,0.0,0,38.506821055
224,2017-08-13 08:00:00,2017-08-13 17:00:00,0.9474362759999999,11,50,45,0.0,0,44.052563724
225,2017-08-14 08:00:00,2017-08-14 17:00:00,7.533887453999999,11,50,45,0.0,0,37.466112546
226,2017-08-15 08:00:00,2017-08-15 17:00:00,0.954604826,11,50,45,0.0,0,44.045395174
227,2017-08-16 08:00:00,2017-08-16 17:00:00,8.310301716,11,50,45,0.0,0,36.689698284
228,2017-08-17 08:00:00,2017-08-17 17:00:00,3.697183108,11,50,45,0.0,0,41.302816892
229,2017-08-18 08:00:00,2017-08-18 17:00:00,4.609243332,11,50,45,0.0,0,40.390756668
230,2017-08-19 08:00:00,2017-08-19 17:00:00,12.99893815,11,50,45,0.0,0,32.00106185
231,2017-08-20 08:00:00,2017-08-20 17:00:00,9.65468977,11,50,45,0.0,0,35.34531023
232,2017-08-21 08:00:00,2017-08-21 17:00:00,7.399193609,11,50,45,0.0,0,37.600806391
233,2017-08-22 08:00:00,2017-08-22 17:00:00,3.068063553,11,50,45,0.0,0,41.931936447
234,2017-08-23 08:00:00,2017-08-23 17:00:00,3.62437917,11,50,45,0.0,0,41.37562083
235,2017-08-24 08:00:00,2017-08-24 17:00:00,13.32842542,11,50,45,0.0,0,31.671574579999998
236,2017-08-25 08:00:00,2017-08-25 17:00:00,10.69539501,11,50,45,0.0,0,34.30460499
237,2017-08-26 08:00:00,2017-08-26 17:00:00,7.738473237000001,11,50,45,0.0,0,37.261526763
238,2017-08-27 08:00:00,2017-08-27 17:00:00,7.909553611000001,11,50,45,0.0,0,37.090446389
239,2017-08-28 08:00:00,2017-08-28 17:00:00,13.15577075,11,50,45,0.0,0,31.844229249999998
240,2017-08-29 08:00:00,2017-08-29 17:00:00,6.730677034,11,50,45,0.0,0,38.269322966
241,2017-08-30 08:00:00,2017-08-30 17:00:00,5.623111657999999,11,50,45,0.0,0,39.376888342
242,2017-08-31 08:00:00,2017-08-31 17:00:00,13.936466099999999,11,50,45,0.0,0,31.063533900000003
243,2017-09-01 08:00:00,2017-09-01 17:00:00,12.17442997,11,50,45,0.0,0,32.82557003
244,2017-09-02 08:00:00,2017-09-02 17:00:00,4.2258971139999995,11,50,45,0.0,0,40.774102886
245,2017-09-03 08:00:00,2017-09-03 17:00:00,13.66692918,11,50,45,0.0,0,31.33307082
246,2017-09-04 08:00:00,2017-09-04 17:00:00,7.696342675,11,50,45,0.0,0,37.303657325
247,2017-09-05 08:00:00,2017-09-05 17:00:00,1.4297740540000001,11,50,45,0.0,0,43.570225946
248,2017-09-06 08:00:00,2017-09-06 17:00:00,4.665075216,11,50,45,0.0,0,40.334924784
249,2017-09-07 08:00:00,2017-09-07 17:00:00,8.299572272999999,11,50,45,0.0,0,36.700427727000005
250,2017-09-08 08:00:00,2017-09-08 17:00:00,12.04741773,11,50,45,0.0,0,32.95258227
251,2017-09-09 08:00:00,2017-09-09 17:00:00,2.922146047,11,50,45,0.0,0,42.077853953
252,2017-09-10 08:00:00,2017-09-10 17:00:00,0.947728253,11,50,45,0.0,0,44.052271747
